"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","56.9238836580591","58.9735404977085","60.7971672400535","63.2094875482819","66.8855857243835","70.6392908620231","73.3183388191312","77.2016597651788","82.0677943709474","84.8340041462232","87.616738218631","90.8634552915754","96.8324070824287","98.9626046661004","100","105.629057896627","110.41138795261","112.727941918036","115.175223118592","119.013777599773","122.519085072653","129.808734220297","136.393773126075","138.749392168985","137.80998389694","142.092154420922","143.213383838384","139.987882459861","142.475217783118","145.383222691611","143.271847596008","144.255446135482","",
"Afghanistan","AFG","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","111.65523822034","124.240382550808","137.798454142272","147.719600125925","180.997511515776","184.791741983155","180.793949236649","187.69057005143","218.834717103615","234.813495234107","246.138046378186","247.533512592586","253.59205127826","266.532125561718","271.723432120291","",
"Angola","AGO","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","4.28705632293308E-08","4.19701501468192E-08","4.19701501468192E-08","4.19755070319467E-08","4.19760057477972E-08","4.99662248026381E-08","4.54627380218593E-08","4.9928684326955E-08","5.10339927832032E-08","5.93421546643563E-08","6.76544712689004E-08","1.39577927693596E-07","8.0468873784424E-07","8.18998894451686E-06","0.000186402424800287","0.00358916964722288","0.17588839432868","0.343779182407319","0.479088428309888","3.15001174842122","16.31765909247","33.671836370121","100.000001974573","193.926858258733","258.776346112246","368.434273476299","431.503212021095","450.094163447072","537.277045496213","447.223599068317","588.945042081757","776.061968061477","832.370776090764","856.007976637847","886.488903760969","855.298764515778","1041.53407925739","1277.07185313933","",
"Albania","ALB","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","4.87956717719053","4.77516532483283","4.77431920851429","4.77351926314226","4.77216548081151","4.78892639243129","4.67316365422328","4.67314935000419","4.67312231209081","4.67329424380459","4.65313510989247","6.44777198046827","21.4730735330094","48.4362211491477","65.7987033010183","72.3735332792342","100","111.239664362814","118.726421684673","121.223923191978","128.065479128596","132.949938747094","137.794674541834","144.956245532904","149.532416404473","154.471947218107","158.304028592743","165.253448644361","172.057140604108","176.225374080705","184.137995996499","188.391879208849","190.35109383273","190.904538300026","193.871875021116","194.962866428431","194.028363267892","196.694780314338","",
"Andorra","AND","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","5.54081824278109","5.9755436940202","6.4845451496314","7.25292703803018","8.40942085419982","9.82067265696072","11.4400875553245","14.1151338172266","17.0272329194409","19.9102310550807","22.5692053488681","25.3567669949381","28.8008117935171","32.2235680211272","35.7245730914507","38.7952658254677","43.0157311228805","45.5726717004514","48.2779224533165","51.6072679922839","55.388142188722","59.2293924007684","63.2041413864442","66.0718597544631","68.6353506546604","72.0212172854118","72.5953533624887","74.2128941101172","75.3257586764745","77.3836415573946","100","102.769518098936","106.264100862641","109.32436186302","112.987130903513","116.489276497286","120.217506970013","124.869696931017","127.342208154906","127.34219060369","129.379592795535","132.613911441486","134.072549916171","134.073033403127","133.938468229092","133.328424695358","134.261586823102","135.469847285698","",
"Arab World","ARB","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","27.9514420299598","31.2425374330578","32.8845689972593","31.6806282614747","33.914435868816","37.1417254584134","39.7618825316472","40.2839038533763","38.8264252756677","36.4589967348556","36.7289875970048","36.1051511427786","37.4358371062586","38.327201507786","38.9984168228142","40.2993652022558","40.6261320910667","41.3601756572094","41.8887737180555","41.7788261917873","43.4113253667616","45.9174802405966","45.4802077521772","43.5452771815514","47.2219692977798","52.6333877734053","51.3968675565603","53.3349609652285","55.5069775402609","60.225859973351","70.1787957586491","78.5738836543114","88.4223033292433","104.809921008246","88.8966517851226","100","113.165389424771","115.6976167208","114.694344818752","113.531227354465","95.9958747897982","92.9266500219339","98.7904036675315","",
"Argentina","ARG","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","7.18895053091502E-11","8.64907652849211E-11","1.11462242081356E-10","1.3998671649233E-10","1.8026735846122E-10","2.18543409371641E-10","2.74498089075475E-10","3.54152666316617E-10","3.90542952628105E-10","4.20989017434933E-10","4.48218059328181E-10","5.88380614993937E-10","9.66384481480835E-10","1.59970732848138E-09","2.0897047438487E-09","6.2209959491128E-09","3.3489038319795E-08","8.68796669538272E-08","2.27079272548601E-07","5.617419920553E-07","1.09983703146405E-06","2.25770549423123E-06","6.64973964313215E-06","3.19292920209082E-05","0.000227079944710638","0.0016064713869076","0.00284814905357603","0.0064806760228146","0.0311880164529436","0.98120342610931","21.3737192500369","51.4043032052253","59.6659994934379","57.5412362252407","59.180781521562","61.0539262799835","61.0219489829064","60.7388601486823","59.7030927427164","58.6066105825432","59.214529394292","58.5656756966243","76.4605374112749","84.4856083466432","99.9999998969317","110.317511084538","125.47629818382","144.222363056105","177.640364739783","204.957277170641","247.824346395484","306.567321408416","374.977453364052","464.780047776689","652.00726257168","825.310738210731","1156.05146340282","1448.87034086557","",
"Armenia","ARM","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00192770959655547","0.0034580431474961","0.0231276448491076","0.344871702210915","14.509775987894","37.8942994030323","45.3184634991934","53.3561436923083","59.0644495277821","59.0962286100782","58.2844379042598","60.6561132411637","62.0935344219912","64.925681626694","69.0221887533311","71.2583946445286","74.5504310522241","77.7059796176658","82.3602277238837","84.4661252569504","91.0280582066671","94.9254700312825","100","103.366824642245","105.753753195841","107.037508479417","107.324984549514","109.720012191962","",
"American Samoa","ASM","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.7421981004071","70.92866756393","68.5408299866131","67.6075268817204","69.5652173913043","71.5268225584594","79.5197740112994","100","84.5814977973568","84.0409956076135","98.6217457886677","100.944881889764","100.312012480499","101.848998459168","103.322784810127","106.020066889632","",
